"id","text","topics","complexity","quality_score","structural_elements","num_parties","case_references"
"0","Splash Pte Ltd (“Splash”) conducts adventure boat rides around the coast of Singapore. Customers sign up for a one-hour ride in a speedboat, which usually involves sharp turns and wave-jumping at high speeds. Passengers face various risks: collision with each other or with the interior of the boat, heavy sprays of water and falling overboard. For these reasons, the standard practice is for the company to provide a life jacket and full-face helmet for each passenger; both are to be worn at all times. On this fateful day, the speedboat carries Captain Ahab and three passengers: Vladimir, Angela and Boris. Vladimir recently arrived in Singapore from Russia and is subject to compulsory quarantine. Suffering from severe “cabin fever”, he sneaks out of the hotel to join the ride for some fresh air. This constitutes an offence, punishable by a fine of up to SGD 20,000 and/or imprisonment for a term of up to 6 months. He, of course, discloses none of this to Splash or Captain Ahab. Captain Ahab forgets to bring sufficient helmets for the ride. She dons one herself and hands the last available helmet to Boris. Vladimir and Angela put on their life jackets but Boris, who is an experienced swimmer, refuses to wear his. About twenty minutes into the ride, Captain Ahab has the vessel racing at full throttle. She is distracted by her phone, capturing an exciting shot for the company’s Instagram feed. The boat clips a wave at an awkward angle and leaps into the air. Vladimir is flung into the side of the boat, fracturing his arm, and then tumbles overboard. Boris, always the hero, leaps into the water to rescue Vladimir. In the process of dragging Vladimir closer to the boat, Boris yanks too hard on Vladimir’s arm and the fracture worsens into a full break. Just as Vladimir clambers back onto the boat, tragedy strikes. Boris is swept away by a large wave and almost drowns. Captain Ahab manages to fish Boris’ inert body out of the water and resuscitates him. As Boris is regaining consciousness, Captain Ahab takes the opportunity to steal Boris’ very expensive Rolex dive watch. Worse still, Boris sustains mild brain damage as a result of nearly drowning. A few days after the ride, Angela is diagnosed with Covid-19. She caught it from Vladimir. Both Angela and Vladimir would have worn helmets if they had been provided and this would have prevented Angela from becoming infected. Captain Ahab has fled the jurisdiction and so the passengers want to sue Splash. You may assume that Captain Ahab was an employee of Splash and that she breached her duty of care to the passengers in failing to provide helmets, and in steering the vessel in the waves.","battery|negligence|duty_of_care|standard_of_care|causation|remoteness|illegality_defence|contributory_negligence|vicarious_liability","4","0.9","parties|scenario|legal_issues|complications|defences","5",""
"1","Donald, a local entrepreneur, runs Dump Hotel, which is famous for its weekly barbecues at which all the cooking is done using hydrochar, a charcoal-like biofuel derived from human waste generated at the hotel. The hydrochar is manufactured in a biochemical facility located next to the hotel. Joe is an elderly man who lives in his house across the street from Dump Hotel. As he suffers from agoraphobia (in his case, a fear of being outdoors or even being exposed to the outdoors), Joe spends his days and nights in his basement where he writes a daily blog on living with agoraphobia. Dump Hotel’s weekly barbecues create significant noise and smoke, causing Joe’s next door neighbour to complain. However, Joe is not personally affected because he lives in his basement. Recently, Joe notices a very bad odour in his basement. To manufacture hydrochar, Dump Hotel stores huge quantities of human waste (which would normally be disposed of as sewage) in a huge underground tank which feeds the biochemical facility. Some of the waste has leaked into subterranean tunnels and contaminated the ground within Joe’s property. While it does not pose a health risk, the contamination kills the plants growing in Joe’s garden. The odour is only detectable in the basement; it is not detectable anywhere else in the house or outside. As there is no explanation for what caused the leak and nobody knew about the tunnels, Donald refuses to take responsibility. He tweets that as the area is zoned for “COMMERCIAL and RESIDENTIAL” use, nobody should complain about a “LITTLE SMELL”. The bad smell forces Joe out of the basement and he suffers panic attacks due to his agoraphobia. His friend, Kamala, visits him regularly to check that he has food in the fridge and an adequate supply of his medication. During her last visit before going on holiday, she forgets to check his medical supplies. Joe runs out of his anxiety medication two days after Kamala leaves. When he realizes he has no more medication, he is suddenly overwhelmed by panic, which triggers a psychiatric disorder. Kamala returns three days later to find Joe in a neurotic state. She rushes him to hospital, where he is diagnosed as suffering from a recognized psychiatric disorder. The emergency psychiatrist, Dr Fauci, is of the view that Joe is at risk of self-harm and recommends urgent electric shock therapy. Joe’s psychiatric disorder has affected his capacity to consent. Kamala asks Dr Fauci whether there any risks associated with the therapy. Dr Fauci informs her that the therapy is safe and might even be able to cure his agoraphobia. Kamala tells Dr Fauci that Joe’s entire life revolves around his agoraphobia and suggests that he consider alternative treatments. Dr Fauci proceeds with the treatment believing it to be necessary to minimize the risk of self-harm and that it would be in Joe’s best interests to be cured of agoraphobia. The treatment is successful and Joe is also no longer agoraphobic. However, he is distraught as agoraphobia has been central to his identity all his life. He blames Dr Fauci for destroying the very essence of his being and for his ensuing emotional distress. He is also upset with Kamala for forgetting to check on his medicine and causing his psychiatric injury.","negligence|duty_of_care|standard_of_care|causation|remoteness|psychiatric_harm|trespass_to_land|private_nuisance|rylands_v_fletcher|consent_defence","4","0.88","parties|scenario|legal_issues|complications|defences","5",""
"2","White Sands Cottage (WSC) is a luxurious assisted living facility for the elderly. Residents are provided well-furnished living quarters, excellent food, wellness programs and nursing care where needed. While they are free to leave the residence on their own, most residents do not as WSC provides most, if not all, of their needs. Recently, Tom became a resident of WSC and took a liking to Violet, a physiotherapist employed by WSC. Violet politely declined Tom’s invitations to dinner on various occasions. Violet is in a romantic relationship with Paul, who worked as a pastry chef in WSC’s kitchen. WSC’s terms of employment disallow such romantic liaisons between co- workers. WSC’s kitchen operations are outsourced to Best Foods (BF), and Paul is employed by BF to run the operations that produce WSC’s daily dessert menu selections. Although WSC owns the kitchen and all its equipment, BF manages the kitchen staff and directly handles the residents’ feedback on the quality and variety of the daily menu offerings. Paul is angry with Tom for trying to date Violet and confronts Tom. He shakes his fist at Tom and says in a harsh tone: “Stop disturbing Violet or you will meet my fist tonight!”. Tom, feeling threatened by Paul’s tall stature and aggressive tone, retaliated. In front of a large number of residents and staff, Tom exclaimed that Paul was actually a former prison inmate who had been convicted of various criminal offences, and that he should not be allowed to work in a place like WSC. Although BF was aware of Paul’s criminal record, they had decided to give him a second chance to reintegrate into society. Paul, both incensed by and highly distressed at this public humiliation, punches Tom. The latter falls backwards, hits his head on the ground and suffers a skull fracture. WSC’s security officers are summoned, but Paul escapes before they arrive. Paul drives off from WSC hurriedly in his car in order to avoid police investigations into a possible offence under the Penal Code, with Violet accompanying him. Her work permit recently expired and she was also keen to avoid police questioning as her continued employment with WSC would be an immigration offence punishable by imprisonment or a fine. Agitated by what transpired earlier, Paul discusses the recent chain of events with Violet while driving, and does not pay proper attention to the road ahead. A lorry coming in the opposite direction carelessly swerves into Paul’s lane in order to overtake a slow moving car. Paul does not react in time and they collide head-on with the lorry, resulting in both Paul and Violet suffering serious injuries.","assault|battery|false_imprisonment|harassment|negligence|duty_of_care|standard_of_care|causation|remoteness|defamation|vicarious_liability","4","0.85","parties|scenario|legal_issues|complications|defences","5",""
"3","Ever since it was re-zoned for mixed commercial and residential use 10 years ago, Kampong Kechil has gained the reputation as a bustling food and beverage district with many restaurants, cafes, bars as well as residential properties. Burger and Blues (B&B) is one of the most popular restaurants in Kampong Kechil. It opened for business about a year ago and rapidly gained popularity. The restaurant is open till 2 am in the morning and there is live music on the restaurant patio on weekends. As alcohol is also served, B&B’s customers are usually noisy and rowdy. Anna lives in an apartment on the third floor of a building just behind B&B which she found on a short term rental website. She has leased the apartment for 4 weeks from the owner who is overseas. She complains about the noise and fumes from B&B’s large metal chimney that is just 4 metres away from her bedroom window. Anna cannot open her bedroom windows because of the strong smell of stale oil. Harry, B&B’s owner, says that he cannot do more to reduce the noise and fumes from the exhaust system as the upgrading costs are prohibitive and would wipe out his first year of profits. The noise from B&B at night kept Anna awake and she suffered from a lack of sleep. This aggravated Anna’s pre-existing skin allergy condition. She woke up one morning to find that her face, arms and legs were covered in painful blisters. She visited a dermatologist immediately, who then carelessly prescribed some new medication without checking Anna’s allergy history. The next day, Anna collapsed because of a serious allergic reaction to the new medication. This caused Anna permanent kidney failure and she now has to undergo regular dialysis treatment. Ivan lives in a ground floor apartment in the same building as Anna, in which he has a small garden where he grows rare orchids. One day, Ivan woke up to a horrible stench. When he looked out into his garden, he realized to his horror that it was flooded with raw sewage. Ivan’s neighbours also had their gardens flooded with raw sewage. Most of his precious orchids were ruined. Investigations revealed that a ‘fatberg’ had clogged up the main sewer pipe running underground along an adjacent road and this caused raw sewage to overflow into the surrounding area. A ‘fatberg’ is a congealed mass of fat, oil, grease, wet wipes and other items that have been washed down sinks and toilets instead of being properly disposed of. Investigations further revealed that B&B’s waste oil processing equipment was not working (which would have broken down the oil into a less harmful substance), and its staff have been pouring waste oil down the kitchen sink and drainage pipes despite regular reminders from National Environment Agency officers not to do so. Despite this, Harry claims that he did not know that the improper disposal of waste oil could lead to the formation of a ‘fatberg’. He also points out that other restaurants and cafes in the area were also discarding waste oil into the sewers. However, the large volume of waste oil discarded from B&B materially increased the risk of the fatberg forming.","private_nuisance|negligence|duty_of_care|standard_of_care|causation|remoteness|consent_defence|rylands_v_fletcher","4","0.87","parties|scenario|legal_issues|defences|remedies","5",""
"4","Copacabana is the hottest beach club in Sentosa. Music and passion are always the fashion, as hundreds of trendy revellers party from 8pm until 4am throughout the week. Flavia signed a contract with the club to be its “DJ in residence” for six months. She must work 15 hours per week, including at least one whole night on a Friday or Saturday. For this Flavia receives a flat fee, divided into weekly instalments, plus a bonus based upon attendance. The club is entitled to terminate the contract if attendance falls below a certain figure for two weeks in a row. The club provides the sound system. Flavia brings her own discs and is free to set the playlist, so long as it remains predominantly on the Latin American theme of merengue and cha-cha. Rico and Carlos go to the club one night. Carlos is only 17 years old; he gains admission by using a fake ID. Under the liquor licensing regulations, a person under the age of 18 commits an offence by buying or consuming alcohol. The offence attracts a fine of up to $5,000 and imprisonment not exceeding 3 months. Rico and Carlos soon make nuisances of themselves, showing off their diamond bling and approaching every woman in the vicinity. They then go to the bar to order cocktails from Tony, the bartender employed by the club. Tony carelessly splashes a large quantity of spirits into both drinks. Carlos soon begins to feel unwell and goes to the bathroom. While he is lying on the bathroom floor, sick and dizzy, another clubgoer accidentally steps on his hand, breaking a finger. That same clubgoer then steals his wallet. Rico continues to party. Across the crowded floor he spots Lola, one of the dancers employed by the club. He calls her over when she finishes dancing. Unknown to Rico, Lola is dating Tony. Rico goes a bit too far with Lola and Tony signals frantically to the club’s security officer to intervene. The security officer comes to Lola’s assistance and separates the pair. Tony then decides to teach Rico a lesson for harassing Lola, and spikes Rico’s cocktail with a hallucinogenic drug. Rico becomes delirious, trips and hits his head against the bar counter. He suffers a serious head injury. As Flavia prepares her next set of dance tracks, Lola clambers onto a special dancing podium next to the main speakers. Flavia fiddles with the volume controls, causing a deafening blast of bass right into Lola’s eardrum. Lola, who already had hearing damage due to a long career dancing in clubs, develops chronic tinnitus (ringing or buzzing in the ears). You may assume that: (1) Flavia was negligent in her volume control and (2) Tony was negligent in adding too much alcohol to the drinks.","negligence|duty_of_care|standard_of_care|causation|remoteness|battery|harassment|false_imprisonment","4","0.88","parties|scenario|legal_issues|complications|defences","5",""
"5","Clean Future Ltd operates a large landfill (a place where waste is buried in the land as a form of disposal) in Willow Town. There are some residential houses and a home for the aged (Peace Home) near the landfill. Large trucks transporting garbage from all parts of Singapore arrive at the landfill round the clock. The traffic and landfill activity causes a lot of noise. The landfill also produces odours and gases because of decomposition. Crows, rats and other scavenging animals are frequently found on the landfill. Occasionally, Clean Future Ltd burns some of the rubbish in the open. Charlene lives in a single-storey house near the landfill which she is renting on a two-year lease. Despite keeping the windows closed at all times, she is still bothered by the stench and traffic noise. The traffic noise keeps her awake at night and she does not get much sleep. As a result, she is unable to concentrate at work and suffers from frequent headaches and chest pains. Charlene owns a restaurant and often buys expensive cooking ingredients which she keeps in a storage room at her home. Recently, she discovered that rats had entered her home and destroyed all her cooking ingredients, including a rare herb that is valued at $1,500. Millie lives in the house next to Charlene. One day, in accordance with its usual practice, the landfill workers dampened the surrounding area after burning waste and left the remaining fire to burn out. A strong gust of wind reignited the fire a few hours later, and the fire spread towards Millie's garden. As soon as she saw the fire advancing towards her garden, Millie called the “995” hotline operated by the Singapore Civil Defence Force. The hotline operator informed her that a fire engine will arrive at her residence in approximately 10 minutes, and that she should stay clear of the fire. However, the fire engine arrived nearly 40 minutes after the call. By this time, the fire had destroyed her garden shed, front porch and parked car. It turned out that the fire engine arrived later than predicted because it had been provided erroneous information. The operator had typed in the wrong residential postal code into the system when she received the call and the fire engine driver initially went to the wrong address. If they had arrived in the time indicated, most of the property damage would have been averted. Peace Home has also recently discovered that the soil in its garden contains dangerous levels of toxic contaminants, which are known to increase the risk of developing various cancers. It was found that the source of the toxic contaminants is the landfill. Liquids containing the toxic contaminants leaked from the landfill into the neighbouring land. It is common knowledge that leakage frequently occurs in landfills, and that it is very costly to build a leak-proof landfill. Clean Future had considered retro-fitting its landfill a few years ago to reduce the risk of leakage but decided against it because of the high costs. Peace Home wants an injunction issued against Clean Future to stop its operations.","private_nuisance|negligence|duty_of_care|standard_of_care|causation|remoteness|contributory_negligence","4","0.85","parties|scenario|legal_issues|defences","5",""
"6","Robert Lim was suffering from a very rare condition which had caused a nodule to grow at the base of his neck. He went to the Singapore National Hospital, where he was advised by Dr Abdul Aziz that if the nodule was not removed it would continue to grow, and would eventually reach such a size that it would threaten his life. Dr Aziz advised Robert that the procedure to remove the nodule would be a very delicate one, and that the only specialist in Singapore who was qualified to perform it was Dr Megan Nathan. Dr Nathan was in private practice, but on several prior occasions had performed surgery of this type as a consultant at the Singapore National Hospital. Robert agreed that Dr Nathan should carry out the surgery at the hospital. During the consultation at which Robert met Dr Nathan and signed the form consenting to the removal of the nodule, Dr Nathan explained the nature of the surgery and outlined a number of possible risks and side-effects. However, she omitted to tell Robert that there was a 0.1% chance that, even if the surgery to remove the nodule was successful, he could suffer from permanent paralysis and be in extreme discomfort for the rest of his life. Unfortunately, although Dr Nathan performed the procedure competently, this risk eventuated. The majority of doctors in Singapore would not have wished to disclose a risk which was statistically so small, but most patients would have wished to be informed of a risk with such potentially severe consequences. Robert subsequently acknowledged that, even if he had known of the risk, he would have asked Dr Nathan to perform the procedure at some point, but that he would have deferred it until the nodule had further increased in size. While Dr Nathan was performing the procedure to remove the nodule, she noticed that Robert had another and different type of growth behind his right ear. This she correctly diagnosed as suggesting the presence of a small brain tumour, which if not removed would also eventually prove life-threatening. Since Robert was already under general anaesthetic, Dr Nathan took the opportunity to excise the tumour, even though this was not her particular area of expertise. When Robert awoke from the anaesthetic and Dr Nathan told him that she had carried out this additional procedure, he was furious. He said that had he been aware of the tumour's presence he would not have consented to it being removed by Dr Nathan, but would instead have chosen to have the procedure performed by a brain surgeon. Robert now wishes to sue Dr Nathan for her failure to warn him of the risk associated with the procedure to remove the nodule, and for carrying out the procedure to remove the tumour. In addition, he wishes to know whether the Singapore National Hospital can also be held accountable for Dr Nathan's conduct.","negligence|duty_of_care|standard_of_care|causation|remoteness|consent_defence|vicarious_liability","4","0.9","parties|scenario|legal_issues|complications|defences","5",""
"7","Donald is a businessman who wishes to build a business empire servicing the needs of elderly people. He commissions Halimah, an investment consultant, to prepare a demographic report identifying locations in Singapore with high proportions of aging citizens. Donald informs Halimah that his son, Jared, will help him with the business project. Jared works closely with Halimah, who identifies the Sungei Kadut area as having the highest proportion of elderly residents. Halimah also identifies an existing block of apartments in Sungei Kadut that can be converted into a nursing home. She submits her report to Donald and gives a copy to Jared, suggesting that he, Jared, buy the apartment block. Relying on the report, Jared uses his own money to purchase the block of apartments to convert into a nursing home. Soon after Jared’s purchase of the apartment block, the Government announces that it will provide subsidized nursing home facilities in Sungei Kadut for elderly Singaporeans. Halimah had negligently failed to note this major Government project when she prepared her report. Jared loses a significant amount of his investment in the planned nursing home. Jared turns the nursing home into a dormitory for foreign workers to reduce his loss. In no time, the dormitory is filled with workers from India. Many of the Indian workers enjoy playing cricket and do so every evening until late in the night, playing under the street lights. Occasionally, a ball will fly into an apartment block located over 120 meters away from the dormitory. Saras, the owner of one of the apartments, is incensed when a cricket ball smashes through her kitchen window. She also resents the workers playing cricket and complaining about the noise. None of the other residents are bothered by the cricket and many of them in fact join the workers for a game. Saras is upset because she grew up next to a cricket pitch and has developed a hatred for the sport which dominated her early childhood. Saras decides to find a way to shut down the dormitory across her street. After painstaking research, she discovers that Jared has not complied with one of the regulatory requirements under the Foreign Employee Dormitories Act 2015. She seeks the assistance of her uncle, George, a property developer. Following an agreed plan of action with Saras, George files a complaint with the Commissioner for Foreign Employee Dormitories, who revokes Jared’s licence to operate a foreign employee dormitory, causing Jared economic loss. Separately, Global Cities, a major construction company that employs foreign construction workers from China, enters into a contract with Jared for the provision of dormitories. Jared converts a second building in Bishan to accommodate the Chinese workers. George, who has some vacant properties, approaches Global Cities and offers to provide dormitories at half the rate charged by Jared. Global Cities accepts George’s offer and breaches its contract with Jared, causing him economic loss with respect to his Bishan dormitory.","negligence|duty_of_care|standard_of_care|causation|remoteness|illegality_defence|private_nuisance|vicarious_liability","4","0.85","parties|scenario|legal_issues|complications|defences","5",""
"8","Play World is an amusement park. Ang, Beng and Chan are three school-mates who visit the park one Saturday. Beng and Chan buy their entrance tickets, enter lawfully and obtain visitor stamps on their right hands. Ang puts on a fake security officer's uniform and manages to enter the park as well as obtain a stamp on his right hand as if he were a visitor who had bought an entrance ticket. This deception is an offence punishable with a fine of $500 and/or a sentence of community service for 2 weeks. Ang changes back into his regular clothes. He takes a ride on the **PW Ferris Wheel**. On the second turn of the wheel, right about the top of the circle, the engine stops. The engine has been poorly maintained by Play World for some time. During this time Ang sends WhatsApp messages repeatedly to Play World to complain and insult 'all you useless people'. The messages are relayed to the safety engineer who becomes incensed and thinks to himself 'I'll leave you where you are, you ungrateful kid'. The safety engineer leaves for home without completing the repair. Ang is left trapped in his seat for another hour before another engineer completes the repair of the engine, so that Ang can be brought down. Upon descent, Ang feels embarrassed and is slightly dehydrated—although, thankfully, not physically injured. He wants Play World to compensate him for both the 30 minutes, and the next full hour, of his entrapment at the top of the wheel. Ang's predicament is witnessed by Chan who, unknown to Ang, harbours ill-feelings towards Ang. Chan takes a photo of Ang trapped in his seat at the top of the PW Ferris Wheel, and he sends it to Ang's mother with the caption: 'Too bad, Auntie. Your son probably gonna die today. Hehe.' Ang's mother is terrified on seeing and reading this on her smart-phone. Ang is her only child. Ang's mother becomes emotionally upset for a few hours worrying about Ang and sobbing uncontrollably. She is relieved only when Ang arrives home that evening. Ang's mother continues to suffer from the occasional flashbacks of that event. She wants to sue Chan for 'this sick joke'. Beng and Chan play a game called Soft Bojutsu inside the designated ring. Two combatants are given large plastic sticks covered in padded foam. The objective is to force the other person out of the ring by pushing him or hitting him with the stick. Beng had his braces removed a week ago. He was advised by his dentist not to engage in 'rough contact sports' for a month but the lure of the game was too strong for the teenager. There is a prominent sign at the entrance to the ring, that reads: 1. All players shall wear helmets as provided by Play World. 2. A player may not hit the other player's head whether with the stick or using any part of your own body. An umpire offers Beng a helmet. Beng refuses to wear it saying, 'no one is allowed to hit my head anyway'. The umpire allows Beng to play the game with Chan. You may assume that it is negligent of the umpire not to insist on Beng wearing the helmet. Beng and Chan begin their fight, during which Chan successfully hits Beng's torso very hard several times. Chan then taps Beng lightly on his head. Beng collapses from the pain of the hard hits to his torso. As a result of Beng collapsing on the floor, his newly-corrected teeth are smashed out of position. Beng forgives his friend Chan but wants Play World to compensate him for his injuries. Advise Ang, Ang's mother and Beng of the torts that may have been committed against them by the defendant each wants to sue and the legal issues that may arise in each suit. Where the tort is negligence, you may assume and need not discuss the existence of the defendant's duty of care and the defendant's breach of the duty owed. Where Play World is sued, you may assume it is legally responsible for all the acts or omissions of its staff at the amusement park.","negligence|vicarious_liability|harassment|psychiatric_harm|battery|consent_defence|trespass_to_land|defamation","5","0.92","parties|scenario|legal_issues|complications|defences","6",""
"9","Kylesberg Corporation (KC) owns the recipes for several internationally popular specialty beers. It is financially secure. In its plans to conquer the Singapore market, it enters a unique commercial arrangement with Ah Boey Company (AB) in which KC is clearly the 'boss'. In their contractual documents AB is referred to as an 'independent contractor' of KC. AB will build a brewery in Singapore and produce KC's specialty beers. The arrangement ties AB down to the very specific and detailed instructions of KC regarding every aspect of production, including the look of the bottles and quality control. KC will supply the supervisors while AB's staff will only serve in subordinate positions. In all aspects of management and production AB agrees to a clearly subservient role and will serve KC's demands. AB never learns of KC's recipes. AB agrees to a clearly subservient role and will serve KC's demands in all aspects of management and production. AB appoints CanDo (CD), a firm of building contractors, to construct the brewery according to AB's specifications. Planning approval is obtained for the construction of a brewery within an area zoned for mixed uses, next to some houses where people have been living for a while. When the construction is nearing completion, the workers of CD accidentally cut an underground optical fibre that ran under the building site and continued into the neighbouring houses. There is no carelessness by the workers of CD as the owner of the optical fibre (i.e., the internet service provider) had not encased the optical fibre with metal, as it should have. **Wong** rents and lives in one of the houses. He loses his internet service and cannot play online games for the next 3 weeks which is the time it took the internet service provider to replace its damaged optical fibre. Wong is incensed at CD as he was just about to win an intense gaming battle with his 'friends' overseas. Wong wants to take action against CD because 'even if they were not careless in cutting the optical fibre, they are strictly liable to me'. One week after the brewery started brewing operations, a fire breaks out. The cause of the fire is not known. There are several large liquid gas cylinders stored in the brewery. The fire causes one cylinder to explode, resulting in a massive fire that spreads beyond the brewery to the neighbouring house. **Tan** owns the neighbouring house. It is damaged by the fire. Tan wants KC to shut down the brewing operations until safety features 'that meet the highest industry standards' are installed and he also wants compensation for the damage to his house. Tan wants to take action against the big international firm, KC, instead of the small local company, AB. AB discovers that CD did not meticulously follow AB's specifications. The floor of the brewery is not capable of bearing the weight required in a brewery. The floor is not unsafe, and it would have sufficed for most purposes. It is, nevertheless, defective because the floor cannot securely hold all the heavy equipment needed in a brewery. AB wants to know what type of 'harm' a defective floor is, and whether the builder CD owes AB a duty of care with respect to such harm resulting from their construction. Advise the parties: (a) Wong, as to what tort(s), if any, CD has committed against him; (b) Tan, as to the alternative bases, if any, upon which he may successfully argue that KC is liable to him for damage from the fire. Then, assuming Tan can successfully argue that KC is liable to him, what remedy or remedies, if any, Tan may expect a court to order in his favour; and (c) AB as to how their harm is characterised by the law of torts and whether AB is likely to succeed in arguing that the CD owed AB a duty of care with respect to such harm.","negligence|vicarious_liability|trespass_to_land|strict_liability|private_nuisance|consent_defence|causation|remoteness|duty_of_care|standard_of_care","5","0.9","parties|scenario|legal_issues|complications|defences","6",""
